URN,Crime.committed,Call.to.police,CSI.visit.starts,CSI.vist.ends,Data.input.begins,Data.input.ends,Van.picks.up.sample,Sample.arrives.at.lab,Sample.prep.begins,Sample.prep.ends,Enter.collect,Exit.Weds.collect,Enter.Weds.DNA.machine,Exit.Friday.collection,Enter.Friday.DNA.machine,Exit.Weds.DNA.machine,Enter.validation.process,Exit.Friday.DNA.machine,Enter.validation.process2,Exit.validation,Enter.ID.database
1,67.20714052,67.20714052,480,533.3363718,900,960,960,1061.335765,1920,1942.407743,2075.553803,,,,,2195.553803,2195.553803,,,2210.77643,2210.77643
2,383.7360317,383.7360317,480,539.0796734,900,960,960,1061.335765,1942.407743,1967.846729,2075.553803,,,,,2195.553803,2210.77643,,,2227.42524,2227.42524
3,409.3768092,409.3768092,480,545.3088783,900,960,960,1061.335765,1967.846729,1984.545596,2075.553803,,,,,2195.553803,2227.42524,,,2246.173002,2246.173002
4,497.6107803,497.6107803,533.3363718,604.8283558,900,960,960,1061.335765,2006.155105,2035.400685,2075.553803,,,,,2195.553803,2284.268442,,,2300.889472,2300.889472
5,515.545024,515.545024,539.0796734,602.6544468,900,960,960,1061.335765,1984.545596,1995.879624,2075.553803,,,,,2195.553803,2246.173002,,,2266.008919,2266.008919
6,529.4803645,529.4803645,545.3088783,604.3117398,900,960,960,1061.335765,1995.879624,2006.155105,2075.553803,,,,,2195.553803,2266.008919,,,2284.268442,2284.268442
7,531.5637612,531.5637612,602.6544468,664.0788567,900,960,960,1061.335765,2035.400685,2062.983779,2075.553803,,,,,2195.553803,2300.889472,,,2318.432184,2318.432184
8,805.6933289,805.6933289,805.6933289,869.9304504,900,960,960,1061.335765,2062.983779,2075.553803,2075.553803,,,,,2195.553803,2318.432184,,,2336.887656,2336.887656
9,849.6833195,849.6833195,849.6833195,1938.315064,2340,2400,2400,2509.892856,3360,3388.322734,3555.456424,,,,,3675.456424,3675.456424,,,3694.915695,3694.915695
10,861.5557743,861.5557743,861.5557743,1942.915635,2340,2400,2400,2509.892856,3388.322734,3416.105797,3555.456424,,,,,3675.456424,3694.915695,,,3712.434982,3712.434982
11,865.1795616,865.1795616,869.9304504,1954.252746,2340,2400,2400,2509.892856,3416.105797,3442.706628,3555.456424,,,,,3675.456424,3712.434982,,,3730.914804,3730.914804
12,931.5006278,931.5006278,1938.315064,1990.674612,2340,2400,2400,2509.892856,3442.706628,3466.138019,3555.456424,,,,,3675.456424,3730.914804,,,3746.026154,3746.026154
13,954.5676395,954.5676395,1942.915635,2000.96651,2340,2400,2400,2509.892856,3466.138019,3488.236489,3555.456424,,,,,3675.456424,3746.026154,,,3762.322485,3762.322485
14,1031.757487,1031.757487,1954.252746,2017.076701,2340,2400,2400,2509.892856,3488.236489,3505.270071,3555.456424,,,,,3675.456424,3762.322485,,,4800.345738,4800.345738
15,1071.567986,1071.567986,1990.674612,2044.169674,2340,2400,2400,2509.892856,3505.270071,3535.119402,3555.456424,,,,,3675.456424,4800.345738,,,4815.590047,4815.590047
16,1093.34945,1093.34945,2000.96651,2065.059926,2340,2400,2400,2509.892856,3535.119402,3555.456424,3555.456424,,,,,3675.456424,4815.590047,,,4834.004,4834.004
17,1109.370525,1109.370525,2017.076701,2075.720657,2340,2400,2400,2509.892856,3555.456424,3583.816654,3745.793638,,,,,3865.793638,4834.004,,,4850.498359,4850.498359
18,1412.686192,1412.686192,2044.169674,2109.920417,2340,2400,2400,2509.892856,3583.816654,3612.916923,3745.793638,,,,,3865.793638,4850.498359,,,4869.357709,4869.357709
19,1551.397019,1551.397019,2065.059926,2121.220605,2340,2400,2400,2509.892856,3612.916923,3627.338334,3745.793638,,,,,3865.793638,4869.357709,,,4885.116789,4885.116789
20,1577.458918,1577.458918,2075.720657,2139.042691,2340,2400,2400,2509.892856,3627.338334,3653.975063,3745.793638,,,,,3865.793638,4885.116789,,,4903.298457,4903.298457
21,1722.428777,1722.428777,2109.920417,2175.897825,2340,2400,2400,2509.892856,3653.975063,3682.260861,3745.793638,,,,,3865.793638,4903.298457,,,4922.213028,4922.213028
22,1774.945609,1774.945609,2121.220605,2181.044296,2340,2400,2400,2509.892856,3682.260861,3709.276455,3745.793638,,,,,3865.793638,4922.213028,,,4939.143126,4939.143126
23,1847.116983,1847.116983,2139.042691,2197.007912,2340,2400,2400,2509.892856,3709.276455,3725.473646,3745.793638,,,,,3865.793638,4939.143126,,,4955.412021,4955.412021
24,1938.728222,1938.728222,2175.897825,2238.801959,2340,2400,2400,2509.892856,3725.473646,3745.793638,3745.793638,,,,,3865.793638,4955.412021,,,4973.461221,4973.461221
25,1951.570132,1951.570132,2181.044296,2242.447232,2340,2400,2400,2509.892856,3745.793638,3765.560537,4919.056526,,,,,5039.056526,5039.056526,,,5056.591457,5056.591457
26,2008.288716,2008.288716,2197.007912,2269.235816,2340,2400,2400,2509.892856,3765.560537,4800.520408,4919.056526,,,,,5039.056526,5056.591457,,,5076.488997,5076.488997
27,2089.323839,2089.323839,2238.801959,2300.653914,2340,2400,2400,2509.892856,4800.520408,4825.207038,4919.056526,,,,,5039.056526,5076.488997,,,5094.184049,5094.184049
28,2244.19158,2244.19158,2244.19158,2312.64434,2340,2400,2400,2509.892856,4825.207038,4852.185638,4919.056526,,,,,5039.056526,5094.184049,,,5113.612497,5113.612497
29,2460.006729,2460.006729,3360,3420.488029,3780,3840,3840,3962.486573,4868.158074,4887.985487,4919.056526,,,,,5039.056526,5130.804533,,,5150.384687,5150.384687
30,2844.013132,2844.013132,3360,3429.38854,3780,3840,3840,3962.486573,4887.985487,4902.595824,4919.056526,,,,,5039.056526,5150.384687,,,5166.442125,5166.442125
31,3061.648059,3061.648059,3360,3417.271306,3780,3840,3840,3962.486573,4852.185638,4868.158074,4919.056526,,,,,5039.056526,5113.612497,,,5130.804533,5130.804533
32,3101.31307,3101.31307,3417.271306,3473.620707,3780,3840,3840,3962.486573,4902.595824,4919.056526,4919.056526,,,,,5039.056526,5166.442125,,,5182.248422,5182.248422
33,3143.427632,3143.427632,3420.488029,3477.585795,3780,3840,3840,3962.486573,4919.056526,4941.425278,5099.940663,,,,,5219.940663,5219.940663,,,6255.948229,6255.948229
34,3293.065309,3293.065309,3429.38854,3494.794084,3780,3840,3840,3962.486573,4941.425278,4966.503139,5099.940663,,,,,5219.940663,6255.948229,,,6274.720848,6274.720848
35,3524.809798,3524.809798,3524.809798,3575.546185,3780,3840,3840,3962.486573,4966.503139,4985.409297,5099.940663,,,,,5219.940663,6274.720848,,,6289.731693,6289.731693
36,3539.946253,3539.946253,3539.946253,3601.568186,3780,3840,3840,3962.486573,4985.409297,5012.063068,5099.940663,,,,,5219.940663,6289.731693,,,6307.345391,6307.345391
37,3551.993877,3551.993877,3551.993877,3607.786897,3780,3840,3840,3962.486573,5012.063068,5041.44749,5099.940663,,,,,5219.940663,6307.345391,,,6323.016572,6323.016572
38,3575.77201,3575.77201,3575.77201,3636.668302,3780,3840,3840,3962.486573,5041.44749,5064.257644,5099.940663,,,,,5219.940663,6323.016572,,,6340.364378,6340.364378
39,3615.759872,3615.759872,3615.759872,3686.814213,3780,3840,3840,3962.486573,5064.257644,5077.106693,5099.940663,,,,,5219.940663,6340.364378,,,6360.156801,6360.156801
40,3628.485296,3628.485296,3628.485296,3695.502849,3780,3840,3840,3962.486573,5077.106693,5099.940663,5099.940663,,,,,5219.940663,6360.156801,,,6379.307209,6379.307209
41,3643.014184,3643.014184,3643.014184,3703.01855,3780,3840,3840,3962.486573,5099.940663,5122.847747,6400.841062,,,,,6520.841062,6520.841062,,,6537.842808,6537.842808
42,3741.396398,3741.396398,3741.396398,4832.069417,5220,5280,5280,5409.015506,6240,6254.996655,6400.841062,,,,,6520.841062,6537.842808,,,6557.593171,6557.593171
43,3776.447361,3776.447361,3776.447361,4859.59557,5220,5280,5280,5409.015506,6278.968393,6304.987808,6400.841062,,,,,6520.841062,6575.720305,,,6591.020081,6591.020081
44,3803.774013,3803.774013,4800,4853.871538,5220,5280,5280,5409.015506,6254.996655,6278.968393,6400.841062,,,,,6520.841062,6557.593171,,,6575.720305,6575.720305
45,3837.469924,3837.469924,4832.069417,4900.698001,5220,5280,5280,5409.015506,6304.987808,6324.787601,6400.841062,,,,,6520.841062,6591.020081,,,6610.478815,6610.478815
46,3950.231595,3950.231595,4853.871538,4914.487411,5220,5280,5280,5409.015506,6324.787601,6344.602547,6400.841062,,,,,6520.841062,6610.478815,,,6627.720107,6627.720107
47,4066.289796,4066.289796,4859.59557,4931.69844,5220,5280,5280,5409.015506,6344.602547,6372.076198,6400.841062,,,,,6520.841062,6627.720107,,,6647.608195,6647.608195
