URN,Crime.committed,Call.to.police,CSI.visit.starts,CSI.vist.ends,Data.input.begins,Data.input.ends,Van.picks.up.sample,Sample.arrives.at.lab,Sample.prep.begins,Sample.prep.ends,Enter.collect,Exit.Weds.collect,Enter.Weds.DNA.machine,Exit.Friday.collection,Enter.Friday.DNA.machine,Exit.Weds.DNA.machine,Enter.validation.process,Exit.Friday.DNA.machine,Enter.validation.process2,Exit.validation,Enter.ID.database
1,67.20714052,67.20714052,480,,,547.9841416,547.9841416,610.655672,610.655672,633.0634154,1980,,,,,2100,2100,,,2115.222628,2115.222628
2,383.7360317,383.7360317,480,,,553.1211068,610.655672,690.4413845,690.4413845,715.8803697,1980,,,,,2100,2115.222628,,,2131.871437,2131.871437
3,409.3768092,409.3768092,480,,,557.9226054,610.655672,690.4413845,715.8803697,732.5792374,1980,,,,,2100,2131.871437,,,2150.619199,2150.619199
4,497.6107803,497.6107803,497.6107803,,,580.0488877,610.655672,690.4413845,732.5792374,743.9132652,1980,,,,,2100,2150.619199,,,2170.455117,2170.455117
5,515.545024,515.545024,547.9841416,,,624.6403358,690.4413845,795.4145302,795.4145302,805.6900111,1980,,,,,2100,2170.455117,,,2188.714639,2188.714639
6,529.4803645,529.4803645,553.1211068,,,626.1735109,690.4413845,795.4145302,805.6900111,834.935591,1980,,,,,2100,2188.714639,,,2205.33567,2205.33567
7,531.5637612,531.5637612,557.9226054,,,633.0083962,690.4413845,795.4145302,834.935591,862.5186855,1980,,,,,2100,2205.33567,,,2222.878381,2222.878381
8,805.6933289,805.6933289,805.6933289,,,882.8332338,882.8332338,1960.864246,1960.864246,1973.434269,1980,,,,,2100,2222.878381,,,2241.333854,2241.333854
9,849.6833195,849.6833195,849.6833195,,,930.0326031,1960.864246,2059.978517,2059.978517,2088.301251,2255.43494,,,,,2375.43494,3360,,,3379.459271,3379.459271
10,861.5557743,861.5557743,861.5557743,,,936.5944247,1960.864246,2059.978517,2088.301251,2116.084314,2255.43494,,,,,2375.43494,3379.459271,,,3396.978559,3396.978559
11,865.1795616,865.1795616,865.1795616,,,942.3816691,1960.864246,2059.978517,2116.084314,2142.685145,2255.43494,,,,,2375.43494,3396.978559,,,3415.458381,3415.458381
12,931.5006278,931.5006278,931.5006278,,,1958.611072,1960.864246,2059.978517,2142.685145,2166.116536,2255.43494,,,,,2375.43494,3415.458381,,,3430.56973,3430.56973
13,954.5676395,954.5676395,954.5676395,,,1986.768561,2059.978517,2139.430881,2166.116536,2188.215006,2255.43494,,,,,2375.43494,3430.56973,,,3446.866062,3446.866062
14,1031.757487,1031.757487,1920,,,1996.107873,2059.978517,2139.430881,2205.248588,2235.097919,2255.43494,,,,,2375.43494,3464.889314,,,3480.133623,3480.133623
15,1071.567986,1071.567986,1920,,,1988.126079,2059.978517,2139.430881,2188.215006,2205.248588,2255.43494,,,,,2375.43494,3446.866062,,,3464.889314,3464.889314
16,1093.34945,1093.34945,1958.611072,,,2035.646029,2059.978517,2139.430881,2235.097919,2255.43494,2255.43494,,,,,2375.43494,3480.133623,,,3498.547576,3498.547576
17,1109.370525,1109.370525,1986.768561,,,2059.499951,2059.978517,2139.430881,2255.43494,2283.795171,3465.772155,,,,,3585.772155,3585.772155,,,3602.266515,3602.266515
18,1412.686192,1412.686192,1988.126079,,,2066.371376,2139.430881,2229.943417,2283.795171,2312.89544,3465.772155,,,,,3585.772155,3602.266515,,,3621.125865,3621.125865
19,1551.397019,1551.397019,1996.107873,,,2066.618152,2139.430881,2229.943417,2312.89544,2327.31685,3465.772155,,,,,3585.772155,3621.125865,,,3636.884944,3636.884944
20,1577.458918,1577.458918,2035.646029,,,2112.117649,2139.430881,2229.943417,2327.31685,3373.95358,3465.772155,,,,,3585.772155,3636.884944,,,3655.066612,3655.066612
21,1722.428777,1722.428777,2059.499951,,,2137.910782,2139.430881,2229.943417,3373.95358,3402.239378,3465.772155,,,,,3585.772155,3655.066612,,,3673.981183,3673.981183
22,1774.945609,1774.945609,2066.371376,,,2140.157953,2229.943417,2331.409089,3429.254972,3445.452163,3465.772155,,,,,3585.772155,3690.911282,,,3707.180176,3707.180176
23,1847.116983,1847.116983,2066.618152,,,2138.742462,2139.430881,2229.943417,3402.239378,3429.254972,3465.772155,,,,,3585.772155,3673.981183,,,3690.911282,3690.911282
24,1938.728222,1938.728222,2112.117649,,,2188.284077,2229.943417,2331.409089,3445.452163,3465.772155,3465.772155,,,,,3585.772155,3707.180176,,,3725.229377,3725.229377
25,1951.570132,1951.570132,2137.910782,,,2212.98089,2229.943417,2331.409089,3465.772155,3485.539054,3673.566845,,,,,3793.566845,4800,,,4817.534932,4817.534932
26,2008.288716,2008.288716,2138.742462,,,2221.718009,2229.943417,2331.409089,3500.498924,3525.185555,3673.566845,,,,,3793.566845,4837.432471,,,4855.127524,4855.127524
27,2089.323839,2089.323839,2140.157953,,,2215.555979,2229.943417,2331.409089,3485.539054,3500.498924,3673.566845,,,,,3793.566845,4817.534932,,,4837.432471,4837.432471
28,2244.19158,2244.19158,2244.19158,,,2324.410152,2331.409089,3404.92034,3525.185555,3552.164154,3673.566845,,,,,3793.566845,4855.127524,,,4874.555972,4874.555972
29,2460.006729,2460.006729,3360,,,3434.363837,3520.910531,3622.668393,3642.495806,3657.106143,3673.566845,,,,,3793.566845,4911.328162,,,4927.3856,4927.3856
30,2844.013132,2844.013132,3360,,,3440.901969,3520.910531,3622.668393,3657.106143,3673.566845,3673.566845,,,,,3793.566845,4927.3856,,,4943.191897,4943.191897
31,3061.648059,3061.648059,3360,,,3431.503654,3520.910531,3622.668393,3622.668393,3642.495806,3673.566845,,,,,3793.566845,4891.748008,,,4911.328162,4911.328162
32,3101.31307,3101.31307,3360,,,3430.679077,3430.679077,3520.910531,3552.164154,3568.136591,3673.566845,,,,,3793.566845,4874.555972,,,4891.748008,4891.748008
33,3143.427632,3143.427632,3430.679077,,,3502.027512,3520.910531,3622.668393,3673.566845,3695.935597,4874.450983,,,,,4994.450983,4994.450983,,,5010.458548,5010.458548
34,3293.065309,3293.065309,3431.503654,,,3509.496854,3520.910531,3622.668393,3695.935597,3721.013458,4874.450983,,,,,4994.450983,5010.458548,,,5029.231167,5029.231167
35,3524.809798,3524.809798,3524.809798,,,3590.468442,3622.668393,3684.004585,3721.013458,3739.919616,4874.450983,,,,,4994.450983,5029.231167,,,5044.242012,5044.242012
36,3539.946253,3539.946253,3539.946253,,,3615.176294,3622.668393,3684.004585,3739.919616,3766.573387,4874.450983,,,,,4994.450983,5044.242012,,,5061.85571,5061.85571
37,3551.993877,3551.993877,3551.993877,,,3622.175311,3622.668393,3684.004585,3766.573387,4815.95781,4874.450983,,,,,4994.450983,5061.85571,,,5077.526892,5077.526892
38,3575.77201,3575.77201,3575.77201,,,3650.462842,3684.004585,3759.560567,4815.95781,4838.767964,4874.450983,,,,,4994.450983,5077.526892,,,5094.874697,5094.874697
39,3615.759872,3615.759872,3615.759872,,,3697.87837,3759.560567,4815.839593,4838.767964,4851.617013,4874.450983,,,,,4994.450983,5094.874697,,,5114.667121,5114.667121
40,3628.485296,3628.485296,3628.485296,,,3707.655741,3759.560567,4815.839593,4851.617013,4874.450983,4874.450983,,,,,4994.450983,5114.667121,,,5133.817528,5133.817528
41,3643.014184,3643.014184,3643.014184,,,3716.962359,3759.560567,4815.839593,4874.450983,4897.358067,5113.909566,,,,,5233.909566,6240,,,6257.001746,6257.001746
42,3741.396398,3741.396398,3741.396398,,,3823.236418,4815.839593,4878.771303,4897.358067,4912.354722,5113.909566,,,,,5233.909566,6257.001746,,,6276.752109,6276.752109
43,3776.447361,3776.447361,3776.447361,,,4812.792037,4815.839593,4878.771303,4912.354722,4936.32646,5113.909566,,,,,5233.909566,6276.752109,,,6294.879243,6294.879243
44,3803.774013,3803.774013,3803.774013,,,4832.236822,4878.771303,4979.738733,4979.738733,5005.758149,5113.909566,,,,,5233.909566,6294.879243,,,6310.179019,6310.179019
45,3837.469924,3837.469924,3837.469924,,,4877.8169,4878.771303,4979.738733,5025.557942,5045.372888,5113.909566,,,,,5233.909566,6329.637753,,,6346.879045,6346.879045
46,3950.231595,3950.231595,4800,,,4874.468457,4878.771303,4979.738733,5005.758149,5025.557942,5113.909566,,,,,5233.909566,6310.179019,,,6329.637753,6329.637753
47,4066.289796,4066.289796,4812.792037,,,4895.676272,4979.738733,5057.671051,5057.671051,5085.144702,5113.909566,,,,,5233.909566,6346.879045,,,6366.767133,6366.767133
48,4088.998009,4088.998009,4832.236822,,,4906.221126,4979.738733,5057.671051,5085.144702,5113.909566,5113.909566,,,,,5233.909566,6366.767133,,,6383.785077,6383.785077
49,4202.659587,4202.659587,4874.468457,,,4955.112855,4979.738733,5057.671051,5113.909566,5134.533976,6300.520642,,,,,6420.520642,6420.520642,,,6440.04636,6440.04636
50,4218.591995,4218.591995,4877.8169,,,4958.357568,4979.738733,5057.671051,5134.533976,5158.548743,6300.520642,,,,,6420.520642,6440.04636,,,6459.549219,6459.549219
51,4369.856747,4369.856747,4895.676272,,,4973.083245,4979.738733,5057.671051,5158.548743,5170.354378,6300.520642,,,,,6420.520642,6459.549219,,,6478.107868,6478.107868
52,4420.251721,4420.251721,4906.221126,,,4976.989386,4979.738733,5057.671051,5170.354378,5192.189667,6300.520642,,,,,6420.520642,6478.107868,,,6493.939688,6493.939688
53,4486.029849,4486.029849,4955.112855,,,5034.2402,5057.671051,5163.98325,5208.949193,6256.206808,6300.520642,,,,,6420.520642,6513.077486,,,6529.540734,6529.540734
54,4530.565681,4530.565681,4958.357568,,,5031.008052,5057.671051,5163.98325,5192.189667,5208.949193,6300.520642,,,,,6420.520642,6493.939688,,,6513.077486,6513.077486
55,4709.669864,4709.669864,4973.083245,,,5051.135305,5057.671051,5163.98325,6256.206808,6280.324763,6300.520642,,,,,6420.520642,6529.540734,,,6548.333887,6548.333887
56,4815.379977,4815.379977,4976.989386,,,5055.149048,5057.671051,5163.98325,6280.324763,6300.520642,6300.520642,,,,,6420.520642,6548.333887,,,6567.164131,6567.164131
57,4993.975514,4993.975514,5031.008052,,,5103.944925,5163.98325,5233.0922,6300.520642,6314.621047,6459.27122,,,,,6579.27122,6579.27122,,,6595.846069,6595.846069
58,4999.783817,4999.783817,5034.2402,,,5109.140303,5163.98325,5233.0922,6314.621047,6343.987549,6459.27122,,,,,6579.27122,6595.846069,,,6613.296371,6613.296371
59,5009.891819,5009.891819,5051.135305,,,5121.127935,5163.98325,5233.0922,6343.987549,6354.246619,6459.27122,,,,,6579.27122,6613.296371,,,6628.919529,6628.919529
60,5022.109259,5022.109259,5055.149048,,,5128.826986,5163.98325,5233.0922,6354.246619,6376.002546,6459.27122,,,,,6579.27122,6628.919529,,,6645.802194,6645.802194
61,5041.691786,5041.691786,5103.944925,,,5181.179535,5233.0922,6291.272217,6396.53102,6412.954389,6459.27122,,,,,6579.27122,10564.29466,,,10580.32841,10580.32841
62,5096.039573,5096.039573,5109.140303,,,5180.570703,5233.0922,6291.272217,6376.002546,6396.53102,6459.27122,,,,,6579.27122,6645.802194,,,10564.29466,10564.29466
63,5153.34758,5153.34758,5153.34758,,,5227.525941,5233.0922,6291.272217,6412.954389,6441.967087,6459.27122,,,,,6579.27122,10580.32841,,,10597.43447,10597.43447
64,5174.142394,5174.142394,5174.142394,,,5240.812687,6291.272217,6398.247072,6441.967087,6459.27122,6459.27122,,,,,6579.27122,10597.43447,,,10612.50422,10612.50422
65,5186.840755,5186.840755,5186.840755,,,5262.924447,6291.272217,6398.247072,6459.27122,6488.609057,6633.549505,,,,,6753.549505,10612.50422,,,10630.51671,10630.51671
66,5276.939733,5276.939733,5276.939733,,,6304.511031,6398.247072,6481.408252,6488.609057,6515.260704,6633.549505,,,,,6753.549505,10630.51671,,,10645.68199,10645.68199
67,5355.050966,5355.050966,6240,,,6317.158978,6398.247072,6481.408252,6555.59418,6571.40049,6633.549505,,,,,6753.549505,10679.70522,,,10694.75015,10694.75015
68,5399.718509,5399.718509,6240,,,6309.733979,6398.247072,6481.408252,6540.521357,6555.59418,6633.549505,,,,,6753.549505,10664.14495,,,10679.70522,10679.70522
69,5487.588332,5487.588332,6240,,,6306.340671,6398.247072,6481.408252,6515.260704,6540.521357,6633.549505,,,,,6753.549505,10645.68199,,,10664.14495,10664.14495
70,5694.828841,5694.828841,6304.511031,,,6381.703015,6398.247072,6481.408252,6593.421981,6605.180955,6633.549505,,,,,6753.549505,10713.22602,,,10730.22872,10730.22872
71,5746.197107,5746.197107,6306.340671,,,6380.290971,6398.247072,6481.408252,6571.40049,6593.421981,6633.549505,,,,,6753.549505,10694.75015,,,10713.22602,10713.22602
72,5799.151174,5799.151174,6309.733979,,,6389.911753,6398.247072,6481.408252,6633.549505,10562.64801,10696.00182,,,,,10816.00182,10816.00182,,,10832.26514,10832.26514
73,6043.110969,6043.110969,6317.158978,,,6389.267618,6398.247072,6481.408252,6605.180955,6633.549505,6633.549505,,,,,6753.549505,10730.22872,,,10749.64737,10749.64737
74,6099.558029,6099.558029,6380.290971,,,6462.75818,6481.408252,6556.63499,10593.37799,10613.08462,10696.00182,,,,,10816.00182,10870.48361,,,10885.56123,10885.56123
