URN,Crime.committed,Call.to.police,CSI.visit.starts,CSI.vist.ends,Data.input.begins,Data.input.ends,Van.picks.up.sample,Sample.arrives.at.lab,Sample.prep.begins,Sample.prep.ends,Enter.collect,Exit.Weds.collect,Enter.Weds.DNA.machine,Exit.Friday.collection,Enter.Friday.DNA.machine,Exit.Weds.DNA.machine,Enter.validation.process,Exit.Friday.DNA.machine,Enter.validation.process2,Exit.validation,Enter.ID.database
1,67.20714052,67.20714052,67.20714052,,,135.1912821,135.1912821,197.8628125,480,502.4077433,1989.398698,,,,,2109.398698,2109.398698,,,2124.621325,2124.621325
2,383.7360317,383.7360317,383.7360317,,,456.8571384,456.8571384,536.6428509,536.6428509,562.0818361,1989.398698,,,,,2109.398698,2124.621325,,,2141.270135,2141.270135
3,409.3768092,409.3768092,456.8571384,,,534.7797438,536.6428509,641.6159966,641.6159966,658.3148643,1989.398698,,,,,2109.398698,2141.270135,,,2160.017897,2160.017897
4,497.6107803,497.6107803,534.7797438,,,617.2178512,641.6159966,759.6470085,759.6470085,770.9810363,1989.398698,,,,,2109.398698,2160.017897,,,2179.853814,2179.853814
5,515.545024,515.545024,617.2178512,,,693.8740454,759.6470085,858.76128,858.76128,869.0367608,1989.398698,,,,,2109.398698,2179.853814,,,2198.113337,2198.113337
6,529.4803645,529.4803645,693.8740454,,,766.9264495,858.76128,938.2136436,1920,1949.24558,1989.398698,,,,,2109.398698,2198.113337,,,2214.734367,2214.734367
7,531.5637612,531.5637612,766.9264495,,,842.0122403,858.76128,938.2136436,1949.24558,1976.828674,1989.398698,,,,,2109.398698,2214.734367,,,2232.277079,2232.277079
8,805.6933289,805.6933289,842.0122403,,,919.1521451,938.2136436,1028.72618,1976.828674,1989.398698,1989.398698,,,,,2109.398698,2232.277079,,,2250.732551,2250.732551
9,849.6833195,849.6833195,919.1521451,,,999.5014287,1028.72618,1130.191851,1989.398698,2017.721431,2184.855121,,,,,2304.855121,2304.855121,,,2324.314392,2324.314392
10,861.5557743,861.5557743,999.5014287,,,1074.540079,1130.191851,1243.703102,2017.721431,2045.504495,2184.855121,,,,,2304.855121,2324.314392,,,3361.83368,3361.83368
11,865.1795616,865.1795616,1074.540079,,,1151.742187,1243.703102,1333.934557,2045.504495,2072.105326,2184.855121,,,,,2304.855121,3361.83368,,,3380.313502,3380.313502
12,931.5006278,931.5006278,1151.742187,,,1218.85263,1243.703102,1333.934557,2072.105326,2095.536716,2184.855121,,,,,2304.855121,3380.313502,,,3395.424851,3395.424851
13,954.5676395,954.5676395,1218.85263,,,1291.053552,1333.934557,1435.692418,2095.536716,2117.635186,2184.855121,,,,,2304.855121,3395.424851,,,3411.721183,3411.721183
14,1031.757487,1031.757487,1291.053552,,,1367.161425,1435.692418,1497.02861,2117.635186,2134.668768,2184.855121,,,,,2304.855121,3411.721183,,,3429.744435,3429.744435
15,1071.567986,1071.567986,1367.161425,,,1435.287504,1435.692418,1497.02861,2134.668768,2164.5181,2184.855121,,,,,2304.855121,3429.744435,,,3444.988744,3444.988744
16,1093.34945,1093.34945,1435.287504,,,1512.322462,1512.322462,1587.878443,2164.5181,2184.855121,2184.855121,,,,,2304.855121,3444.988744,,,3463.402697,3463.402697
17,1109.370525,1109.370525,1512.322462,,,1585.053852,1587.878443,1684.157469,2184.855121,2213.215351,3420,,,,,3540,3540,,,3556.49436,3556.49436
18,1412.686192,1412.686192,1585.053852,,,1663.29915,1684.157469,1747.089179,2213.215351,2242.315621,3420,,,,,3540,3556.49436,,,3575.35371,3575.35371
19,1551.397019,1551.397019,1663.29915,,,1733.809428,1747.089179,1848.05661,2242.315621,2256.737031,3420,,,,,3540,3575.35371,,,3591.112789,3591.112789
20,1577.458918,1577.458918,1733.809428,,,1810.281047,1848.05661,1925.988927,2256.737031,2283.37376,3420,,,,,3540,3591.112789,,,3609.294457,3609.294457
21,1722.428777,1722.428777,1810.281047,,,1888.691878,1925.988927,2032.301126,2283.37376,2311.659558,3420,,,,,3540,3609.294457,,,3628.209028,3628.209028
22,1774.945609,1774.945609,1888.691878,,,1962.478455,2032.301126,2101.410076,2311.659558,2338.675153,3420,,,,,3540,3628.209028,,,3645.139127,3645.139127
