URN,Crime.committed,Call.to.police,CSI.visit.starts,CSI.vist.ends,Data.input.begins,Data.input.ends,Van.picks.up.sample,Sample.arrives.at.lab,Sample.prep.begins,Sample.prep.ends,Enter.collect,Exit.Weds.collect,Enter.Weds.DNA.machine,Exit.Friday.collection,Enter.Friday.DNA.machine,Exit.Weds.DNA.machine,Enter.validation.process,Exit.Friday.DNA.machine,Enter.validation.process2,Exit.validation,Enter.ID.database
1,67.20714052,67.20714052,480,,,547.9841416,547.9841416,610.655672,610.655672,,,628.7576079,1976.506751,,,2096.506751,2096.506751,,,2106.952006,2106.952006
2,383.7360317,383.7360317,480,,,553.1211068,610.655672,690.4413845,690.4413845,,,709.3011308,1976.506751,,,2096.506751,2106.952006,,,2120.249625,2120.249625
3,409.3768092,409.3768092,480,,,557.9226054,610.655672,690.4413845,709.3011308,,,725.9758477,1976.506751,,,2096.506751,2120.249625,,,2137.74515,2137.74515
4,497.6107803,497.6107803,497.6107803,,,580.0488877,610.655672,690.4413845,725.9758477,,,741.3093547,1976.506751,,,2096.506751,2137.74515,,,2157.416985,2157.416985
5,515.545024,515.545024,547.9841416,,,624.6403358,690.4413845,795.4145302,795.4145302,,,810.4834004,1976.506751,,,2096.506751,2157.416985,,,2173.93603,2173.93603
6,529.4803645,529.4803645,553.1211068,,,626.1735109,690.4413845,795.4145302,810.4834004,,,830.2947954,1976.506751,,,2096.506751,2173.93603,,,2187.178091,2187.178091
7,531.5637612,531.5637612,557.9226054,,,633.0083962,690.4413845,795.4145302,830.2947954,,,849.6905691,1976.506751,,,2096.506751,2187.178091,,,2202.263513,2202.263513
8,805.6933289,805.6933289,805.6933289,,,882.8332338,882.8332338,1960.864246,1960.864246,,,1976.506751,1976.506751,,,2096.506751,2202.263513,,,2219.174459,2219.174459
9,849.6833195,849.6833195,849.6833195,,,930.0326031,1960.864246,2059.978517,2059.978517,,,2079.5592,2211.760482,,,2331.760482,2331.760482,,,2350.679024,2350.679024
10,861.5557743,861.5557743,861.5557743,,,936.5944247,1960.864246,2059.978517,2079.5592,,,2099.004966,2211.760482,,,2331.760482,2350.679024,,,2365.717599,2365.717599
11,865.1795616,865.1795616,865.1795616,,,942.3816691,1960.864246,2059.978517,2099.004966,,,2118.155174,2211.760482,,,2331.760482,2365.717599,,,2382.677243,2382.677243
12,931.5006278,931.5006278,931.5006278,,,1958.611072,1960.864246,2059.978517,2118.155174,,,2136.513022,2211.760482,,,2331.760482,2382.677243,,,2392.899942,2392.899942
13,954.5676395,954.5676395,954.5676395,,,1986.768561,2059.978517,2139.430881,2139.430881,,,2157.455498,2211.760482,,,2331.760482,2392.899942,,,2405.492605,2405.492605
14,1031.757487,1031.757487,1920,,,1996.107873,2059.978517,2139.430881,2174.213894,,,2194.176227,2211.760482,,,2331.760482,2421.53911,,,2432.027728,2432.027728
15,1071.567986,1071.567986,1920,,,1988.126079,2059.978517,2139.430881,2157.455498,,,2174.213894,2211.760482,,,2331.760482,2405.492605,,,2421.53911,2421.53911
16,1093.34945,1093.34945,1958.611072,,,2035.646029,2059.978517,2139.430881,2194.176227,,,2211.760482,2211.760482,,,2331.760482,2432.027728,,,2448.855633,2448.855633
17,1109.370525,1109.370525,1986.768561,,,2059.499951,2059.978517,2139.430881,2211.760482,,,2231.350539,2365.538384,,,2485.538384,2485.538384,,,2498.527104,2498.527104
18,1412.686192,1412.686192,1988.126079,,,2066.371376,2139.430881,2229.943417,2231.350539,,,2251.125607,2365.538384,,,2485.538384,2498.527104,,,2516.245804,2516.245804
19,1551.397019,1551.397019,1996.107873,,,2066.618152,2139.430881,2229.943417,2251.125607,,,2267.230959,2365.538384,,,2485.538384,2516.245804,,,2527.763962,2527.763962
20,1577.458918,1577.458918,2035.646029,,,2112.117649,2139.430881,2229.943417,2267.230959,,,2286.390142,2365.538384,,,2485.538384,2527.763962,,,2544.127298,2544.127298
